Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Srikanth Evvru,Internal Medicine Specialist,24+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Tulluru Venkata Murali Krishna,Internal Medicine Specialist,21+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Shaik Khaja Rassul,Internal Medicine Specialist,21+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Vasa Vijay Kumar,Internal Medicine Specialist,19+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram ",Dr. Phani Kumar Reddy,Internal Medicine Specialist,17+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Kodali Venkata Umakanth,Internal Medicine Specialist,17+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Kommi Swetha,Internal Medicine Specialist,17+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Anuroop Thota,General Surgeon,16+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Mandapati Mallikarjuna Reddy,General Surgeon,16+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Rathna Sravanthi Anne,Internal Medicine Specialist,15+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Bhogireddy Sriram Satyadev,General Surgeon,15+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Srikanth Vattikonda,General Surgeon,15+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Purna Chandra Rao Jajala,Internal Medicine Specialist,14+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Gayatri Kammila,Internal Medicine Specialist,14+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Dhulipalla Harika,Internal Medicine Specialist,14+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Palinki Manikya Prasanna Kumar,General Surgeon,14+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Sindhu Mandala,Internal Medicine Specialist,13+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Khaja Abdul Moin Baig,General Surgeon,13+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Aparna Gorijala,Internal Medicine Specialist,13+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Chevuri Shyam Prasad,Internal Medicine Specialist,12+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram ",Dr. Mulinti Meena Gouthami,General Surgeon,12+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Arun Surasura,Internal Medicine Specialist,11+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Dondapati Ramakanth,Internal Medicine Specialist,11+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Chitithoti Rohita,Internal Medicine Specialist,11+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Haleema Neshat,General Surgeon,11+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Meroz Pillarisetty,Internal Medicine Specialist,10+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Palivela T S K Santhosh Rayalu,General Surgeon,10+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Hitisha Onteddu,General Surgeon,10+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Anjali Baddigam,General Surgeon,10+ Years
